GAME_ID,NAME,BOX_ART,DETAILS_URL,MAIN_STORY_LENGTH,MAIN_EXTRA_LENGTH,COMPLETIONIST_LENGTH,COMBINED_LENGTH
1,12 is Better Than 6,gameimages/12_is_Better_Than_6_header.jpg,game.php?id=25033,4,5.5,7.5,5.5
2,140,gameimages/140_game_cover.jpg,game.php?id=14421,1,2.5,3.5,1
3,10000000,gameimages/10000000_ios.jpg,game.php?id=38,6,7.5,8.5,7
4,100% Orange Juice,gameimages/100%OrangeJuice.jpg,game.php?id=16627,7,25.5,73,15
5,12 Labours of Hercules,gameimages/12LaboursofHercules202392.jpg,game.php?id=18104,6,6,7,6
6,10 Second Ninja X,gameimages/38775_10_Second_Ninja_X.jpg,game.php?id=38775,2,7,20,3.5
7,1001 Spikes,gameimages/1001_Spikes.jpg,game.php?id=19077,6.5,8.5,14.5,8
8,10 Second Ninja,gameimages/10SecondNinja.jpg,game.php?id=17213,1,2,4,2
9,16bit Trader,gameimages/16bit_Trader_header.jpg,game.php?id=26964,-1,-1,22.5,22.5
10,12 Labours of Hercules II: The Cretan Bull,gameimages/12_Labours_of_Hercules_II_The_Cretan_Bull_header.jpg,game.php?id=26959,5.5,6,9,7
11,1979 Revolution: Black Friday,gameimages/36527_1979_Revolution_Black_Friday.jpg,game.php?id=36527,2,2.5,4,2.5
12,12 Labours of Hercules III: Girl Power,gameimages/12_Labours_of_Hercules_III_Girl_Power_header.jpg,game.php?id=29286,5.5,6,9,7
13,12 Labours of Hercules IV: Mother Nature,gameimages/34053_12_Labours_of_Hercules_IV_Mother_Nature.jpg,game.php?id=34053,6.5,6.5,9.5,8
14,12 Labours of Hercules V: Kids of Hellas,gameimages/38220_12_Labours_of_Hercules_V_Kids_of_Hellas.jpg,game.php?id=38220,-1,7.5,11,9.5
15,1-2-Switch,gameimages/43478_1-2-Switch.jpg,game.php?id=43478,1,-1,-1,1
16,199X,gameimages/199Xboxshot.jpg,game.php?id=23584,2,2.5,3,2.5
17,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),gameimages/123kickitdropthatbeat_292x136.jpg,game.php?id=32,-1,-1,48,48
18,1953 - KGB Unleashed,gameimages/1953_-_KGB_-Unleashed.jpg,game.php?id=13961,2,2.5,3,2.5
19,1954: Alcatraz,gameimages/1954alcatraz08.jpg,game.php?id=16342,5.5,5.5,8,6
20,1bitheart,gameimages/30161_1bitheart.jpg,game.php?id=30161,3.5,3.5,9,4.5
21,1993 Space Machine,gameimages/37158_1993_Space_Machine.jpg,game.php?id=37158,3,5,20,4
22,1942,gameimages/1942_arcade_flyer.png,game.php?id=54,2,-1,4,2
23,1000 Heads Among the Trees,gameimages/38080_1000_Heads_Among_the_Trees.jpg,game.php?id=38080,48,-1,-1,48
24,1979 Invasion Earth,gameimages/44516_1979_Invasion_Earth.jpg,game.php?id=44516,-1,-1,-1,-1
25,Anno 1701,gameimages/200px-Anno_1701.jpg,game.php?id=489,20,25,-1,21.5
